source,target,reaction_label,with,flux,hrr
AlO,Al,R1,,424.64028014634437,-211030336612.2866
AlH3,AlH2,R2,H,4.244707084742545e-05,4431.590195634116
AlH2,AlH,R3,,0.24793516495704157,-51924312.387345895
AlH3,AlH,R4,,3.3477534911463744e-06,-351.738944079904
AlH,Al,R5,,39.53306601193183,-12755688585.65793
Al,AlH,R6,H2,33.3142418128656,-4653968316.224125
AlH,AlH2,R7,H2,0.2390830216911759,-60470092.23596441
Al,AlO,R9,O2,56.49342464358023,-1003894787.4828289
AlO,Al,R10,,0.017627514766728705,-8760286.876147455
AlO,OAlO,R11,O2,18.54073156008817,-2502418061.172517
Al,AlOH,R13,H2O,53.40843386515227,1637930208.9962735
Al,AlO,R14,H2O,658.1316997229999,-9565472792.106094
AlOAlO,Al2O3,R33,O,233.05385428044602,46492805863.07985
AlO,Al2O3,R34,OAlO,2.6373809890957975,1356150979.5126088
OAlO,Al2O3,R34,AlO,2.6373809890957975,1356150979.5126088
AlOAlO,Al2O3c,R35,O,233.5543603092344,36211616852.81897
AlO,Al2O3c,R36,OAlO,2.643149210664916,1124149455.017424
OAlO,Al2O3c,R36,AlO,2.643149210664916,1124149455.017424
AlO,AlOAlO,R37,,652.9139551172336,161619208254.46234
AlOAlO,Al,R38,,0.5318626074471702,-325595181.1651958
AlOAlO,OAlO,R38,,0.5318626074471702,-325595181.1651958
AlOAlO,AlOAl,R39,,183.79694668735428,-39185473025.50485
OAlO,AlO,R40,,13.79087463253862,-5237022014.845581
AlOAl,Al,R41,,195.91500933985267,-110813694817.22937
AlOAl,AlO,R41,,195.91500933985267,-110813694817.22937
AlOH,AlO,R42,,250.86278503922844,-127325583503.87044
Al,AlOH,R43,OH,197.75618873673187,108690554890.24065
Al2O3,Al2O3(L),R44,,238.32843825342704,113704020353.89278
Al2O3c,Al2O3(L),R45,,238.84048394631046,124564850767.90283
